iter	Passed	Remaining
0	143	143670
1	146	73018
2	148	49454
3	151	37689
4	153	30632
5	156	25939
6	159	22563
7	161	19993
8	161	17834
9	162	16108
10	163	14697
11	164	13518
12	164	12520
13	165	11657
14	166	10910
15	166	10258
16	167	9681
17	168	9165
18	168	8704
19	169	8290
20	169	7919
21	170	7582
22	171	7274
23	171	6989
24	172	6725
25	173	6482
26	173	6255
27	174	6045
28	174	5850
29	175	5668
30	175	5497
31	176	5337
32	177	5187
33	177	5047
34	178	4914
35	178	4788
36	179	4669
37	180	4556
38	180	4449
39	181	4347
40	181	4251
41	182	4160
42	182	4072
43	183	3988
44	184	3907
45	184	3830
46	185	3756
47	185	3685
48	186	3618
49	187	3553
50	187	3491
51	188	3431
52	188	3373
53	189	3317
54	189	3263
55	190	3211
56	191	3161
57	191	3113
58	192	3066
59	192	3020
60	193	2977
61	193	2934
62	194	2893
63	195	2853
64	195	2814
65	196	2777
66	196	2740
67	197	2702
68	197	2668
69	198	2636
70	199	2604
71	199	2574
72	200	2543
73	200	2513
74	201	2484
75	202	2456
76	202	2428
77	203	2401
78	203	2375
79	204	2349
80	204	2324
81	205	2300
82	206	2277
83	206	2254
84	207	2230
85	207	2208
86	208	2185
87	208	2164
88	209	2144
89	210	2124
90	210	2104
91	211	2084
92	211	2066
93	212	2048
94	213	2030
95	213	2013
96	214	1995
97	214	1978
98	215	1961
99	216	1945
100	216	1929
101	217	1910
102	217	1895
103	218	1879
104	218	1864
105	219	1850
106	219	1836
107	220	1821
108	221	1808
109	221	1794
110	222	1781
111	223	1768
112	223	1755
113	224	1743
114	224	1730
115	225	1717
116	226	1706
117	226	1694
118	227	1683
119	227	1671
120	228	1660
121	229	1649
122	229	1636
123	230	1625
124	230	1614
125	231	1604
126	231	1594
127	232	1582
128	232	1572
129	233	1562
130	234	1553
131	234	1544
132	235	1534
133	236	1525
134	236	1516
135	237	1506
136	237	1498
137	238	1488
138	238	1480
139	239	1471
140	240	1462
141	240	1454
142	241	1446
143	241	1438
144	242	1430
145	243	1421
146	243	1413
147	244	1405
148	244	1398
149	245	1390
150	245	1382
151	246	1375
152	247	1367
153	247	1360
154	248	1353
155	248	1346
156	249	1340
157	250	1333
158	250	1326
159	251	1320
160	252	1313
161	252	1306
162	253	1300
163	253	1294
164	254	1288
165	255	1281
166	255	1275
167	256	1269
168	257	1263
169	257	1258
170	258	1252
171	258	1246
172	259	1240
173	260	1234
174	260	1228
175	261	1223
176	261	1217
177	262	1212
178	263	1207
179	263	1202
180	264	1195
181	264	1190
182	265	1185
183	266	1180
184	266	1175
185	267	1170
186	267	1164
187	268	1160
188	269	1155
189	269	1150
190	270	1146
191	271	1141
192	271	1136
193	272	1132
194	273	1127
195	273	1123
196	274	1118
197	275	1113
198	275	1109
199	276	1104
200	276	1100
201	277	1095
202	278	1091
203	278	1087
204	279	1083
205	279	1078
206	280	1074
207	281	1070
208	281	1066
209	282	1062
210	283	1058
211	283	1054
212	284	1050
213	284	1046
214	285	1042
215	286	1038
216	286	1035
